date,time,speaker_name,speaker_party,speaker_constituency,gid,full_text
2016-10-12,18:48:00,David Jones,Conservative,Clwyd West,2016-10-12b.412.2,"I will not because I have very little time.The referendum held on 23 June was one of the biggest democratic exercises in British history. The turnout was high, at 72%, with over 33 million people participating. Over 1 million more people voted to leave than to remain. The turnout was bigger than at any general election since 1992. No single party or Prime Minister has achieved more votes in our history than did the vote to leave in June. This was a once-in-a-generation vote, and that decision must be respected. As my right hon. and learned Friend the Member for Beaconsfield (Mr Grieve) said, we now all have a duty as Members of this House to respect, and not to seek to frustrate, the will of the people of the United Kingdom. I am pleased to observe that most hon. Members who have participated today have agreed with that proposition.The Government recognise that Parliament must play a full part in the United Kingdom&#8217;s withdrawal from the EU, and we will of course observe in full all legal and constitutional obligations that apply during the course of withdrawal. As my right hon. Friend the Secretary of State said, we are committed to working with Parliament as we seek to obtain the best deal for  Britain in that process of withdrawal. Let me be absolutely clear, however, that triggering the article 50 procedure is a matter for the royal prerogative.We will take fully into account the views of all Members in our parliamentary engagement, which has already, in the short life of my Department, been extensive. Debates such as today&#8217;s are part of the process whereby Parliament will hold the Government to account. So far, in the two and a half working weeks since the summer recess, my right hon. Friend has made two oral statements and appeared before two Select Committees. In his opening speech, he listed the parliamentary engagements that Ministers from his Department have attended and will continue to attend. This Government welcome and encourage such participation.The restoration of parliamentary sovereignty is at the very core of why we are leaving the European Union. Once we have left, the primacy of the United Kingdom Parliament will no longer be in doubt. As my hon. Friend the Member for Stone (Sir William Cash) said, that is what the great repeal Bill will secure."
2016-09-08,15:14:00,Jesse Norman,Conservative,Hereford and South Herefordshire,2016-09-08a.547.0,"It is a pleasure to speak with you in the Chair, Mr Deputy Speaker. I congratulate my hon. Friend the Member for Havant (Mr Mak) and the hon. Member for Hove (Peter Kyle) on securing a debate on this very important topic.According to the World Economic Forum, the fourth industrial revolution is characterised by a range of new technologies that are fusing the physical, digital and biological worlds. As my hon. Friend reminded us, it has, they say, the potential to transform and to integrate products and services to reshape radically the way in which things are made, the factories in which we make them, and the ever more personal and customised uses to which they are put. This can take many forms, be they new web applications, micro robots, peer-to-peer services, advanced manufacturing, personalised medicines and cyber-medical technologies. They, in turn, can be leveraged by big data, and better and more widespread digital connectivity.I want to speak briefly about what I think the fourth industrial revolution is or might be, why it matters and what the UK is doing to promote these developments. Let me start by saying that I am quite sceptical about the language of the fourth industrial revolution. I share some of the scepticism of my hon. Friend the Member for Wells (James Heappey). Voltaire once rather sardonically remarked that the Holy Roman empire was neither holy nor Roman nor an empire. I worry that the fourth industrial revolution is neither the fourth nor particularly industrial, and not a revolution.The natures and causes of the original industrial revolution are still, may I remind the House, rather contested. Was it the result of access to coal and high thermic value coal in particular? Was it the result of spreading trade? Was it the result of the bourgeois virtues of thrift and hard work, of tolerance and openness to other countries, or of science and technology? These are still contested matters among historians. What we can say is that it was based on steam, and that something like 150 years later there was one based on electricity.Where does that leave us now? I think we need to go to the fons et origo, the foundation of all economic discussion: Adam Smith. I was particularly glad that  the hon. Member for Inverclyde (Ronnie Cowan) highlighted the importance of Glasgow, since Smith was Glasgow University&#8217;s greatest professor at a time when it was, along with other Scottish universities, one of the greatest universities in the world. Smith was wise on many fronts. He was, alongside David Hume, a Unionist above all. He said:&#8220;The Union was a measure from which infinite good has been derived&#8221;to Scotland. He was wise in economics, by pointing to the importance of the division of labour. He pointed out in particular that the capacity for specialisation was limited by the size of the market. He said that we did not get porters in villages. These days we might say that we do not get Uber in towns&#8212;the market simply is not big enough.I would suggest that change today has been powered by the same things it has always been powered by: bigger markets; technological innovation; better materials and access to materials; and, above all, the human appetite for risk and the questing nature of the human imagination. It was one my predecessors, Lord Willetts, who pointed out the eight technologies on which the previous Government founded their industrial strategy, ranging from satellites to agri-science. I think that that marks a better approach to thinking about these issues than talking airily in terms of revolutions.There is a contrary view, which has been very well articulated by Robert Gordon in his book &#8220;The Rise and Fall of American Growth&#8221;. He argued that there was a golden century of innovation between 1870 and 1970, a time of genuine transformation through innovative technologies. As John Kay has said, someone who was born when Benjamin Disraeli was Prime Minister and lived to see Edward Heath would have witnessed horse-drawn transport give way to cars and aircraft, medical services that were non-existent replaced by cures for infectious diseases, as well as the introduction of electric light, indoor plumbing and colour television. Each of them was a transformative technology. Paul Volcker has pointed out that the greatest technological change of the past few decades in finance has been the ATM. Anyone who knows anything about finance has a great deal of sympathy with that viewpoint.These technologies reshape. Gordon&#8217;s suggestion is that the capacity for transformative innovation has slowed. We have upgrades but we do not have the same life-transforming breakthroughs&#8212;breakthroughs such as the washing machine, which even more perhaps than the internet has shaped people&#8217;s lives&#8212;and the result is low growth and low productivity. I do not share that pessimism; for me, the things that matter are imagination, energy, the capacity for risk and the ability to work.At this point, I should declare an interest by mentioning two projects with which I have been associated. One is the New Model in Technology &amp; Engineering, which will be the first wholly new university for three decades. It will be based in Hereford, and is creating a curriculum along the lines of liberal engineering, tying the liberal imagination of the arts and sciences to the engineering discipline required to create genuine innovation. Its approach will be problem-based rather than curricular, and students will be taught in three-week blocks rather than attending specific lectures. There will be a 46-week curriculum. The university has links with Olin College in America, and with the universities of Warwick and  Bristol in this country. It is not just a very important local institution in embryo, but a potentially national&#8212;disruptively national&#8212;institution in higher education, and I think that it will do an enormous amount to assist the technologies about which we have talked today.The other project is, if anything, even more personal. It is a not-for-profit car that my father has designed&#8212;a flat-pack vehicle. Even you, Mr Deputy Speaker, with your astonishing breadth of understanding and knowledge, may be surprised to learn that the vehicle can be assembled by three people in a day. It costs a third of the price of a luxury 4x4, and it carries three times the weight. Its target price is under &#163;20,000. It is astonishingly simple, and, of course, achieving such simplicity requires terrific design and terrific engineering. What the project shows is that great innovation does not require high technology; it can come through simplification, or a sense of the possibility that simplification can change manufacturing processes. This is a vehicle that has potentially revolutionary implications for developing countries.Let me now deal with our own situation more widely. My hon. Friend the Member for Havant rightly highlighted the importance of policies that support enterprise, as did the hon. Member for Stoke-on-Trent North (Ruth Smeeth), and I very much share that view, but manufacturing companies in this country are overwhelmingly employers of 50 people or fewer, and those small firms account for more than 50% of manufacturing employment. Small and medium-sized enterprises will be the lifeblood of change over the next few decades, as they are today, because they are versatile in their manufacturing and light on their feet. They are also able to respond quickly as customers demand more customised, bespoke and niche products, using new materials and revolutionary production techniques such as 3D printing, intelligent machines and sophisticated computer design.I hope that Members are already aware of Innovate UK, which brings together entrepreneurs and innovators with great ideas. It runs funding competitions to identify the strongest opportunities, and connects with the best partners to get their products market-ready, be they digital or solid-state. The High Value Manufacturing catapult, enabled by Innovate UK, helps small manufacturers to adopt and use those technologies. In its first five years of operation, about &#163;300 million has been invested in high-value manufacturing by that means. Over the past year, the HVM Catapult has worked with more than 1,650 private sector clients on more than 1,300 projects and 1,800 small and medium-sized enterprise engagements. It has the right equipment to support the adoption of advanced technologies. Its use of virtual modelling enables businesses to understand what technology could do for them, and to plan and remove risks. Through Innovate UK, we are supporting the &#163;9 million CityVerve internet of things smart city demonstrator in Manchester. The Future Cities catapult is collaborating with Microsoft and Guide Dogs for the Blind to develop tools to make moving through cities easier and more enjoyable for partially sighted people.Those are just some of the very interesting collaborations that this model of support between the private and public sectors is operating and offering. It is a virtuous circle, and the Government want it to be replicated many times. We need to increase awareness of and access to these catapults. We need to increase the number  of catapults so that more small businesses can test out how to transform what they do and open up new market opportunities."
2016-07-06,12:51:00,Diana R. Johnson,Labour,Kingston upon Hull North,2016-07-06b.921.0,"On a practical level, the report sets out that it is very difficult for intelligence to be assessed by Members of Parliament. Currently, intelligence is shared with the Intelligence and Security Committee only after the event; it is not shared during current operations. Two years ago, when the ISC was being reformed, the Opposition tabled an amendment to allow, in exceptional circumstances, intelligence to be shared with the ISC for current engagements and situations. In the light of today&#8217;s report, does the Prime Minister think it would be worth revisiting that suggestion and giving the ISC the opportunity to have access to intelligence in exceptional circumstances such as this country being on the brink of war?"
2016-04-21,12:45:00,Ranil Jayawardena,Conservative,North East Hampshire,2016-04-21b.1100.0,"I should like to associate myself with the congratulations offered by the Prime Minister and others to Her Majesty. Following on from the comments of my hon. Friend the  Member for Mid Worcestershire (Nigel Huddleston) when he said that, perhaps, Her Majesty the Queen is the nation&#8217;s grandmother, I might add that with her commitment not only to serving our nation, but to serving God, she is the nation&#8217;s godmother too. I am delighted to add the heartfelt good wishes of the people of North East Hampshire.We have heard from all corners of the United Kingdom, so there is not much for me to add in respect of our country. I shall therefore focus my contribution on Her Majesty&#8217;s lifelong commitment to the Commonwealth. Many countries around the world share a common history, and a shared history leads to a shared language, shared values and, I hope, a shared future. To harness this shared history, Her Majesty has overseen the creation of the Commonwealth in its current form as a force for good&#8212;a force for good for the future, given that the Commonwealth is home to 2.2 billion people, of which more than 60% are under the age of 30.As chairman of the all-party parliamentary group on Sri Lanka, I would like to observe that, as Head of the Commonwealth, Her Majesty&#8217;s reign has overlapped with the tenures of all 14 Prime Ministers of Ceylon and, now, Sri Lanka, since the country&#8217;s independence. Her Majesty and I have at least&#8212;perhaps only&#8212;one thing in common: we have both visited Sri Lanka only twice. A former British High Commissioner said following Her Majesty&#8217;s second visit:&#8220;Her Majesty has fond memories of her first visit to Sri Lanka in 1954&#8230;As part of official engagements during the visit, Her Majesty also addressed the nation from the historic studios of Radio Ceylon, now known as the Sri Lanka Broadcasting Corporation.&#8221;He continued:&#8220;Her Majesty came back to Sri Lanka in 1981 as Head of the Commonwealth and people I have met travelling around the country fondly recall memories of her second visit.&#8221;Not only do those excerpts highlight the mutual delight in each other&#8217;s involvement in the Commonwealth, but they demonstrate the strength afforded by the changes that have occurred. Her Majesty has helped make sure that Britain and Sri Lanka have continued to enjoy a long association, which has remained cordial throughout the various constitutional changes of recent decades.That is true of the wider world. The United Kingdom&#8217;s relationship with Australia, Canada, India and other Commonwealth countries has changed, and is stronger for it. Thousands of Commonwealth students study in the United Kingdom each year at our world-class universities. The prestigious Foreign and Commonwealth Office-supported Chevening scholarship provides post-graduate study at Britain&#8217;s top universities to outstanding individuals who demonstrate leadership qualities. This provides real hope for the future. Tomorrow&#8217;s leaders across the world are being provided with the tools to create and sustain a Commonwealth that is mutually respectful, resilient, peaceful and prosperous; a Commonwealth that cherishes quality, diversity and our shared values; a Commonwealth that Her Majesty has created, is committed to and, if I may be so bold, is rightly proud of. God save the Queen."
2016-04-18,18:31:00,Holly Lynch,Labour,Halifax,2016-04-18d.694.0,"I join colleagues in congratulating my hon. Friend the Member for Mitcham and Morden (Siobhain McDonagh) on securing this important debate. I wish her all the very best for a speedy recovery. I thank my right hon. Friend the Member for Enfield North (Joan Ryan) for opening the debate in her absence.One of the biggest challenges facing this Government has been the persistence of low-paid work. I welcome any and all measures to address that. I will focus on asking the Government to reconsider the decision to deny the national living wage to under-25s.It is an absolute travesty that young people have been told that they are not worth &#163;7.20 an hour. I ask the Government to think carefully about the message that sends to young people and their families. People between the ages of 21 and 24 are currently paid 50p less than the new living wage per hour, 18 to 21-year-olds are paid &#163;1.90 less an hour, and those under the age of 18 are paid just &#163;3.87 an hour, which is &#163;3.33 less. It is frustrating enough for those under 25 to be missing out on the financial boost, but the Minister for the Cabinet Office and Paymaster General outlined his reasons for that decision as follows:&#8220;Anybody who has employed people knows that younger people, especially in their first jobs, are not as productive, on average&#8230;It was an active choice not to cover the under 25s.&#8221;What a blow to the next generation.To give some perspective, Queen Victoria inherited the throne at the age of 18, Steve Jobs was 21 when he co-founded Apple, Mark Zuckerberg was 19 when he created Facebook, Adele was just 21 when she produced her Brit and Grammy award-winning album of the same name, and Roger Federer had won eight grand slam singles titles before he turned 25. Tales of William Pitt the Younger, Prime Minister at just 24, have no doubt made all of us in the Chamber feel like underachievers, but although that is far from being the norm, there is nothing new about young politicians and, dare I say it, the hon. Member for Paisley and Renfrewshire South (Mhairi Black) is doing a pretty outstanding job as the baby of the House at the age of 21. I accept that those embarking on a new role often require training and support from employers, and so perhaps initially represent a reduced return on the employer&#8217;s investment of wages, but that could be the case for any new employee, regardless of age.I will give an example of how unjust the policy could be in practice. Let us imagine a young person who takes their A-levels at 18, and goes into training in the workplace or directly into employment. They could have been in their job for seven years before being entitled to the living wage, yet a new employee could start in the same role, sat at the next desk, and be paid the living wage&#8212;50p more an hour&#8212;with seven years&#8217; less experience, simply because they are over 25.Alternatively, a young person might study hard at school and decide to pursue an academic route by going to university. Research by Which? indicates that a typical student on a three-year course outside London might expect to graduate with around &#163;35,000 to &#163;40,000 of student loan debt. Most students on a three-year course graduate at the age of 21. The Office for National Statistics has identified that around 47% of graduates  are employed in non-graduate roles, a trend that has steadily increased since the 2009 recession. A young graduate who has done all the right things&#8212;worked hard and got a degree&#8212;and who is saddled with up to &#163;40,000 of debt as a result has only a 53% chance of securing a graduate job, and is not even entitled to the new living wage. That also means that they will not start paying their student loans back to the Government, which surely does not make sense for anyone.When I graduated from Lancaster University at 21, I started working for an SME in my constituency, predominantly working in sales both overseas and across the UK. As one of the few employees who was young, was not married and did not have children, I was regularly asked to travel at short notice and do the out-of-hours engagements, working evenings and weekends. That reflects the experience of young people across the country. Young people are often asked to work harder and longer hours because of their youth&#8212;to work the longer shifts, lift the heavier packages and work the antisocial hours&#8212;and often oblige, through a desire to prove themselves and to move up the ladder, but also because sometimes their circumstances mean that it is easier for their employers to ask them, as a young person, rather than older members of staff who might have commitments at home.Matt, who works in my parliamentary office, is 23. He graduated from Oxford University at 21. He works, in all honesty, like a Trojan, as do my other staff, who are over 25. It would be completely unfair and unjust to pay Matt less than my other members of staff simply because of his age.There is also a danger that the omission of under-25s from the living wage makes those over 25 more vulnerable in the workplace, as it has the unintended consequence of making those under 25 more attractive to companies that have to deliver a service at the lowest possible cost. I hope that when summing up the Minister will outline what safeguards the Government intend to introduce for the living wage. In an economy where a few pounds is the difference between winning and losing a contract, how do we ensure that firms will not seek exploitatively to employ only under-25s, doing a disservice both to them and to those who are over 25 and will miss out as a result?With that in mind, I ask the Government to reflect on their offer to young people. Citizens Advice recently published a report stating that young people from varied socioeconomic backgrounds are starting their adult lives with a significant and sometimes crippling amount of personal debt. Further figures from the Office for National Statistics confirm that as a result of lower pay, under-25s are being sucked into debt. According to the latest figures, 16 to 24-year-olds have the highest level of debt compared with income. It is double the debt level for the population as a whole. Would it not make sense to give that group a helping hand, and extend the national living wage to under-25s?In response to a question from my hon. Friend the Member for Mitcham and Morden, the Prime Minister said:&#8220;We want to see people taking home more money&#8221;.&#8212;[Official Report, 9 March 2016; Vol. 607, c. 276.]However, we are once again on the wrong side of the debate on equal pay for equal work. I ask the Government to rethink their decision to deny under-25s the national living wage."
2015-12-01,12:35:00,Ian Blackford,Scottish National Party,"Ross, Skye and Lochaber",2015-12-01c.166.2,"It appears that a real shambles is developing here. The Leader of the House is telling us that we are having 20 hours of debate, but that is not correct, because we are being given 10 hours to debate the motion. That is a substantive point. As Members have said, it is a motion that this House needs to reflect on and put down amendments to. Is it not the case that our constituents are very concerned about the consequences of this motion, and surely we should be having two days for debate so that Members can debate this properly? Why does the right hon. Gentleman not call the Prime Minister back from whatever engagements he may have on Thursday? Let us do this properly and treat the country with respect."
2015-10-22,11:07:00,Alex Salmond,Scottish National Party,Gordon,2015-10-22b.1145.2,"I caution the Leader of the House against the idea from Labour Members about a celebration of the battle of Agincourt in parliamentary terms, since Scotland was basically on the other side&#8212;if I remember correctly, it was assisting a rebellion by progressive forces in England against the Lancastrian autocracy of Henry V.On current military engagements, why is there no statement on developments in Syria? There are 12 combatant countries in Syria, and the Prime Minister, Foreign Secretary and Defence Secretary want Britain to be the unlucky No. 13. The new Canadian Government have withdrawn from military operations in Syria, and there has been not a single Government reaction or comment&#8212;not even a tweet&#8212;about that development. Does that silence speak volumes about a Government who regard military intervention as a substitute for political and diplomatic strategy?"
2015-09-09,11:40:00,Harriet Harman,Labour,Camberwell and Peckham,2015-09-09a.388.0,"I am pleased to follow the Prime Minister&#8217;s tribute to Her Majesty the Queen. As he did, I want to start with her words when she was 21 years old:&#8220;I declare before you all that my whole life whether it be long or short shall be devoted to your service.&#8221;Those words, remarkable from such a young woman, were a solemn vow to this country that she has kept through the 63 years and 218 days of her reign. She had not expected to succeed to the throne, but even before she was crowned she was clear that her life would be dedicated to the service of her country.There can be no doubt about the commitment that she has made and the public service she has given and continues to give. Even today, at the age of 89, she is undertaking a public engagement. Her life has been a great sweep of British history&#8212;the second world war, the cold war and the fall of the Berlin wall&#8212;and she has presided over the transition from empire to Commonwealth. Her reign spans profound changes in all respects: in work life, family life, our communities and technology. She has gone from sending telegrams to sending tweets. At a time of so much change, her reign is the reassurance of continuity, a defining feature of this country both at home and abroad. At home, she has done thousands of official engagements, including visits, walkabouts, meeting and greeting the public and welcoming thousands to Buckingham Palace every year. In the one year of her golden jubilee, she visited 70 cities and towns across the country. There is a great commitment to her in every part of this country.Abroad, she has been tireless in her international engagements, and in her long reign she has made official visits to more than 116 countries. It is no exaggeration to say that she is admired by billions of people all around the world, particularly in the Commonwealth, including those who come to live here in the UK, like many in my constituency of Camberwell and Peckham. People respect the fact that she has stayed fastidiously neutral and above politics, yet at times she has played a significant role in key political moments, such as the extraordinary personal generosity she displayed during the peace process in Northern Ireland.She is now on her 12th Prime Minister, although we on the Opposition Benches had hoped that she would now be on her 13th. She reigns over more than 140 million people, a huge number, nearly as large as the number of registered Labour party supporters. It is entirely characteristic of her that she has let it be known that she does not want a fuss to be made about today, but we are making a fuss, and deservedly so. We send her our warmest congratulations, our appreciation and, above all, our thanks."
2015-07-02,15:31:00,Jack Lopresti,Conservative,Filton and Bradley Stoke,2015-07-02b.1713.0,"What a privilege it is to follow the hon. Member for Dundee West (Chris Law) and his excellent maiden speech. I congratulate him and wish him well in his future career and his service in this place. Like my hon. Friend the Member for Ribble Valley (Mr Evans), I do not think back much to my maiden speech&#8212;it was not a happy moment and it is something I like to forget. Making speeches is something that we do, and people tell me it gets easier&#8212;ask me in about five minutes and I will say whether it does or not.This important debate is on a vast and complex subject, so I shall endeavour to make just a few points, mainly on NATO, foreign aid and defence spending. I agree with the hon. Member for Gedling (Vernon Coaker) who said we must decide what sort of country we are in our attitude to defence and security&#8212;that conversation came up at a defence event last night, and there was some consensus.Are we just another northern European power with armed forces that are broadly defensive and engage in a limited fashion in UN peacekeeping missions or&#8212;dare I say it?&#8212;on EU missions? Or are we, as I and I perhaps the majority of British people think, a global force for good with the sovereign capability to defend ourselves robustly and to project power globally in the national interest, keeping our people and streets safe wherever the next threat may come from? Even if we are the former, we must accept that such things come at a financial cost. History demonstrates time and again that our wars choose us; we do not choose them.A myth promulgated by certain sections of the liberal media is that somehow our engagements and operations in Iraq and Afghanistan were merely wars of choice. I would disagree strongly with that and say that they were undertaken with the highest, most decent and honourable motivations to protect our national security, keep our people safe, and improve world security. In my view, in order to maintain our contribution to international security, keep our people safe and maintain our place in the world, we must be prepared to invest more in our defence capability. As Denis Healey&#8212;not someone I quote often or agree with much&#8212;said in 1969:&#8220;Once we cut defence expenditure to the extent where our security is imperilled, we have no houses, we have no hospitals, we have no schools. We have a heap of cinders.&#8221;&#8212;[Official Report, 5 March 1969; Vol. 779, c. 551.]He was absolutely right.The cornerstone of our defence and security policy, and our place in the world, is our membership of NATO. Let me refer to the most up-to-date figures that NATO published last week on estimated defence spending by member states in 2015. Happily, this year we will comply with our treaty obligations and spend 2.1% of GDP on defence. Astonishingly, however, the only other countries in Europe that it is estimated will spend the agreed 2% of GDP on defence to be members of NATO are Estonia, Greece and Poland.Poland has made a big improvement on last year, stepping up to the plate having been spending only 1.8%. France spends 1.8% and Germany 1.2% of GDP, which is the same as last year. Turkey is getting close with 1.7% of GDP, but Luxembourg is expected to spend only 0.5% of GDP on defence, the lowest in NATO. The other NATO members that will spend less than 1% of GDP alongside Luxembourg are Belgium, Hungary and Spain.We have led by example. I agree with points the Prime Minister made last September at the NATO summit in Newport when he called on NATO members that are not making their 2% of GDP contribution to spend more. The UK and the US account for almost four fifths of the total NATO defence spend. The US will pay practically 73% of NATO&#8217;s total estimated budget for 2015. The European nations cannot keep relying on the Americans to write the cheques to provide them with the personnel, kit and manpower to protect them. We are next on the list, paying 6.6%, followed by France with 4.7% and Germany with 4.2%. It is estimated that Germany is planning to spend nearly &#163;14 billion less than us on defence. France will spend &#163;10 billion less than us. The US is spending around &#163;300 billion more than the UK, Germany and France put together.The home country of the President of the European Commission, Juncker, is Luxembourg. As well as spending the smallest percentage of GDP, as I have mentioned, Luxembourg provides 0.3% of the NATO budget in real terms, less than any other NATO member apart from Albania. No wonder he is constantly calling for a European army, so that other people can write the cheques and provide the manpower to protect his country."
2015-06-10,12:44:00,Mark Durkan,Social Democratic and Labour Party,Foyle,2015-06-10b.1208.6,"The Prime Minister has sounded some strong notes against corruption. Will that sound carry through to his Government&#8217;s engagements with all the Gulf states and their regimes&#8217; myriad interests? In that context, will he also amplify the message on human rights?"
2015-01-20,17:38:00,Crispin Blunt,Conservative,Reigate,2015-01-20b.164.1,"It was a political commitment made by the leaders of NATO at a summit hosted by the United Kingdom, so I believe we have made that commitment. The Government have not made it explicit and the Prime Minister will not do so before the general election, because we have to address serious budget issues and he is, rightly, giving himself room for manoeuvre. Everyone present knows that defence expenditure is already at historically low levels in terms of its share of national wealth. We are making economies in defence and in my view our defence posture is, frankly, incoherent, because we can no longer afford a coherent defence policy for the United Kingdom due to the amount of resources we are devoting to it.That is an issue for another debate, but it illustrates the point about the cost of acquiring this system. In the 1980s it cost between 2.5% and 3% of the total defence budget. The cost of renewing the system will be at aboutthe same level of real expenditure, which means that it will cost about 6% of the defence budget. In private conversations with colleagues who share the same back -ground as me, when I ask them whether they would rather have that money spent on the field army or on acquiring this weapons system, their answer is clear: they would rather have it spent on actual deployable defence&#8212;soldiers, sailors, airmen and the equipment deployed with them on operations&#8212;or even on the deterrence that a decent set of conventional armed forces provides. The names of some of the distinguished former Chiefs of the Defence Staff or those in other roles who have questioned the value for money of taking such a sum out of the defence budget have already been paraded.I would argue very strongly to the Defence Secretary that if we are committed to this system, we should understand that it is a political weapons system, and that it is of very doubtful military utility. I do not entirely buy the deterrence argument, but that is a qualified position, because all these things are matters of judgment. If we do buy the argument, however, that should not come at the expense of a coherent defence programme. If we need 2% of GDP to provide a coherent conventional defence programme, we should buy this political weapons system not out of that budget, but from a separate source of funding.In an intervention on the hon. Member for Barrow and Furness (John Woodcock), I asked just how much he would spend on acquiring this weapons system. He represents Barrow, where the submarines will be made, so I understand that his view of their value is rather different from that of other Members. However, we must answer this question, which we have not properly addressed: at what point does the expense become unaffordable for the United Kingdom?I am perfectly content to continue to shelter under the American nuclear umbrella. I accept that the decision matrix would be profoundly different if the United States of America was not a rock-solid ally, the Atlantic alliance was not extremely important to the Americans or we could not place the same degree of reliability on their support as we now do. If we had good reason to believe that the United States was not going to be intimately tied into the defence of ourselves and Europe, the decision would be different. I happen to believe, however, that our interests are so closely intertwined, as they have been in all sorts of ways, that we can continue to rely on that alliance.Frankly, I am not sure that the Americans place very much value on a separate source of nuclear deterrence decision making in London. I think that they would prefer us to bring such resources to the table in the form of deployable conventional forces. The United States Government will not of course take a public view that embarrasses the UK Government, but if we scratched them, we would find that they would rather we had more effective conventional forces.I do not buy the argument of my hon. Friend the Member for Harwich and North Essex that we would lose the money from the defence budget altogether and not be able to spend it on anything else. However, even if the money was lost, it would have value: &#163;100 billion off the debt or spent on other parts of the public service would be valuable.I therefore ask: what are we buying with the system? There should be a debate about whether we are buying security or, given the laws of unintended consequences, insecurity. The hon. Member for Perth and North Perthshire said that he thought we were buying status for our leaders so that they can parade themselves appropriately at conferences. I do not buy that argument&#8212;our leaders are perfectly capable of thinking in hard terms about what hard security is affordable&#8212;but I am concerned about the political background to this discussion, and about whether we can have a sensible debate on the cost-benefit analysis of acquiring this system.The problem is the inheritance of the politics of the 1980s. When the decision was made to acquire the Vanguard and Trident system, the then Labour Opposition came out against it in 1983 as part of the &#8220;longest suicide note in history&#8221; that they presented to the United Kingdom electorate. I think that that policy was wrong and that at the time, because of the cold war, it was right to renew the deterrent. The people of the United Kingdom took the same view in the general election, as they did about the rest of the basket of promises that Michael Foot and his colleagues presented to the country, and they gave that policy, very properly, an extremely large raspberry and possibly the biggest Conservative majority in the history of Parliament&#8212;I am sure I will be corrected if that is wrong.The scarring effect of that event, and the fact that there might be some proper debate, particularly on the Opposition Benches, means that dissent is suppressed. I am proud to stand here as a Conservative and question the efficacy of the decision under discussion, particularly in terms of its opportunity cost. It may be that I have discounted my future career prospects to such an extent that I feel free to make these points, but for the benefit of the Government Whip who is making a note, I say that this is where my judgment lies currently, but it would not prevent me from exercising collective responsibility to support the decision as part of any future Administration. [Laughter.] We should be able to have this debate and ask questions. How much money would we be prepared to spend on this system if its cost was not going to be 6% of the defence budget? What about if it was 10% or 20% of the defence budget? At what point does it cease to be sensible to invest in this system?Many Members support deterrence in principle, or at least are not against the possession of weapons of this destructive power in principle&#8212;that is a perfectly proper position to take, although I do not share it because to a degree I buy the arguments that I grew up with in the 1970s and 1980s about the principle of a defence. I agree that during the cold war these weapons ensured that the world did not elide into direct hot war engagements that had the ability to escalate into catastrophe. The potential for catastrophe at the root of deterrence in a cold war, bipolar world kept us safe, but we are now in a different world and different calculations must be made.My view is that for the United Kingdom, 6% of the defence budget is not justifiable, and that also relates to my view of Britain&#8217;s place in the world. Unlike most of my colleagues, I would be prepared to put our permanent seat on the Security Council up for negotiation and debate in a reform of the UN Security Council, to try to make that institution more effective. I think it is difficult to justify a British veto on the UN Security Council, and because it is so difficult to justify, the veto is hardlyever used by the United Kingdom. We must also think about Britain&#8217;s role in the world, and I do not think that we have properly had the debate about exactly what we can bring to the councils of the world, and what Britain&#8217;s position in the world should be.We will be much better equipped to defend our interests if we are a wealthy, successful, entrepreneurial and trading nation that looks out to the entire world, and I am not sure that landing us with a weapons system that we are never going to use is a sensible use of resources, and it therefore might become a burden&#8212;"
2014-06-04,16:26:00,John Redwood,Conservative,Wokingham,2014-06-04a.41.1,"I am grateful to the Prime Minister for his courtesy. He has been courteous to stay as long as he has given that he has such pressing engagements. He illustrates the point that I wish to move on to, which is how much Brussels dominates our proceedings and our government, but I will first complete my Scottish point.The most likely need that we will face after the Scottish referendum is the need to look at the question of lop-sided devolution. I would be happy to extend more powers to the devolved Scottish Parliament, but I want to be a voice for England and I do not think that we can carry on doing that without England having a settlement as well.In the less likely event that the Scottish nationalists get their wish and there is a vote for independence, I will be one of the first to congratulate the Scots and help them in any way towards a smooth transition. However, I will want them to be genuinely independent. I will not want us to pretend that there is some kind of special relationship that is rather like a federal system. If people wish to be independent, they should be independent.In that event, I propose that the House of Commons should immediately pass legislation saying two important things. The first is that the 2015 general election will not apply in Scotland and the current Members of the Westminster Parliament from Scotland should continue for as long as it takes to complete the process of separating the countries. There would be no point in having the expense and nonsense of a general election in a country that was leaving the Union. The second thing, which the hon. Member for Na h-Eileanan an Iar (Mr MacNeil) might like less, is that the Scottish MPs should play no part in any discussions about non-Scottish business in this place and no part in forming the response of the rest of the United Kingdom to their wish to be independent."
2013-11-29,14:21:00,Jacob Rees-Mogg,Conservative,North East Somerset,2013-11-29b.593.4,"I am so sorry, Madam Deputy Speaker; I had not noticed that my hon. Friend was in fancy dress today. I am glad that proper sartorial standards are being upheld. What would our sovereign think if her Prime Minister were not properly dressed? Perhaps a debate for anther day is whether court dress should be reintroduced for Prime Ministers when they have audiences with Her Majesty. While I am on this subject, it is a great disappointment to me that the Prime Minister, when listing his engagements on Wednesdays, always fails to say that he has an audience with Her Majesty, as his predecessors always used to do. It seems to have dropped out of usage."
